node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,depth,kmer_distance_to_class_mean
0,7,7,2.0,0.0,5139.0,1.0,984.0,0,0,8,2 path,1 all neighbours foreign,65.84839630126953,18.349256448917902
1,8,8,2.0,0.0,5139.0,0.0,452.0,1,0,7,2 path,0 no foreign neighbour,64.88829803466797,41.67465238069153
2,2,2,2.0,0.0,5139.0,0.5,234.0,1,1,8,2 path,mixed,63.98400115966797,76.33990713908291
3,9,9,2.0,0.0,5139.0,0.5,373.0,1,1,8,2 path,mixed,63.94540023803711,53.64721323108343
4,7,7,2.0,0.0,5139.0,0.5,984.0,0,0,9,2 path,mixed,64.39559936523438,7.198413254489779
5,4,4,2.0,0.0,5139.0,0.0,543.0,1,1,0,2 path,0 no foreign neighbour,53.672698974609375,1.8149365919766454
6,3,3,2.0,0.0,5139.0,0.0,295.0,1,1,2,2 path,0 no foreign neighbour,66.24199676513672,18.294757490275757
7,7,7,4.0,0.0,5139.0,1.0,984.0,1,1,4,3+ branch,1 all neighbours foreign,1336.93994140625,2.5726276694375807
8,4,4,3.0,0.0,5139.0,0.0,543.0,1,1,6,3+ branch,0 no foreign neighbour,182.0780029296875,1.827037112876743
9,4,4,3.0,0.0,5139.0,0.3333333333333333,543.0,1,1,0,3+ branch,mixed,20.268299102783203,1.8663334064434625
10,2,2,1.0,0.0,5139.0,0.0,234.0,1,1,4,1 tip,0 no foreign neighbour,679.1959838867188,8.093804325101559
11,8,8,3.0,0.0,5139.0,0.3333333333333333,452.0,1,1,5,3+ branch,mixed,14.523099899291992,4.926304869793899
12,4,4,3.0,0.0,5139.0,0.3333333333333333,543.0,1,1,6,3+ branch,mixed,190.90699768066406,1.6414436864723732
13,6,6,3.0,0.0,5139.0,0.3333333333333333,733.0,1,1,6,3+ branch,mixed,195.72500610351562,3.4038128408753145
14,6,6,3.0,0.0,5139.0,1.0,733.0,0,0,4,3+ branch,1 all neighbours foreign,1332.75,3.232471944594527
15,3,3,2.0,0.0,5139.0,1.0,295.0,1,1,0,2 path,1 all neighbours foreign,56.72570037841797,5.540400685490258
16,0,0,3.0,0.0,5139.0,1.0,914.0,0,0,5,3+ branch,1 all neighbours foreign,10.741399765014648,1.075403698960671
17,0,0,3.0,0.0,5139.0,0.3333333333333333,914.0,0,0,6,3+ branch,mixed,107.13999938964844,1.025239995619272
18,0,0,4.0,0.0,5139.0,0.25,914.0,0,0,6,3+ branch,mixed,127.86000061035156,0.5879725035452547
19,6,6,4.0,0.0,5139.0,0.5,733.0,1,1,6,3+ branch,mixed,113.53900146484375,3.2633644073297936
20,7,7,3.0,0.0,5139.0,0.3333333333333333,984.0,1,1,4,3+ branch,mixed,326.6499938964844,2.7502158604640687
21,0,0,4.0,0.0,5139.0,0.5,914.0,0,0,2,3+ branch,mixed,133.0260009765625,3.069338421917885
22,0,0,4.0,0.0,5139.0,0.75,914.0,0,0,6,3+ branch,mixed,157.83700561523438,0.8010638676266453
23,7,7,4.0,0.0,5139.0,0.5,984.0,1,1,6,3+ branch,mixed,112.22100067138672,2.6580339256084766
24,5,5,4.0,0.0,5139.0,0.0,336.0,1,1,6,3+ branch,0 no foreign neighbour,272.25201416015625,10.240850985556278
25,9,9,4.0,0.0,5139.0,0.0,373.0,1,1,6,3+ branch,0 no foreign neighbour,118.21299743652344,3.122096440062283
26,8,8,3.0,0.0,5139.0,0.0,452.0,1,1,4,3+ branch,0 no foreign neighbour,648.9199829101562,4.162403409176735
27,6,6,4.0,0.0,5139.0,0.5,733.0,0,0,4,3+ branch,mixed,1192.0799560546875,3.201215190178446
28,4,4,3.0,0.0,5139.0,0.0,543.0,1,1,2,3+ branch,0 no foreign neighbour,271.1189880371094,1.8273537463106377
29,8,8,4.0,0.0,5139.0,0.0,452.0,1,0,6,3+ branch,0 no foreign neighbour,168.16000366210938,4.764837604311083
30,4,4,2.0,0.0,5139.0,0.5,543.0,1,1,2,2 path,mixed,128.98599243164062,8.859826271733091
31,8,8,3.0,0.0,5139.0,0.0,452.0,1,1,6,3+ branch,0 no foreign neighbour,111.1969985961914,4.758377618549828
32,4,4,2.0,0.0,5139.0,0.5,543.0,1,1,2,2 path,mixed,128.656005859375,1.176847322000722
33,4,4,1.0,0.0,5139.0,0.0,543.0,1,1,4,1 tip,0 no foreign neighbour,252.25799560546875,1.7891265093469089
34,4,4,4.0,0.0,5139.0,0.5,543.0,1,1,2,3+ branch,mixed,130.99000549316406,8.148888868291474
35,8,8,4.0,0.0,5139.0,0.0,452.0,1,1,6,3+ branch,0 no foreign neighbour,226.41200256347656,4.713894501679818
36,7,7,4.0,0.0,5139.0,0.5,984.0,0,0,0,3+ branch,mixed,98.8958969116211,2.698965884202456
37,6,6,4.0,0.0,5139.0,0.5,733.0,1,1,0,3+ branch,mixed,91.3843002319336,3.364913694916896
38,8,8,3.0,0.0,5139.0,0.0,452.0,1,1,6,3+ branch,0 no foreign neighbour,140.77699279785156,4.868817235223866
39,8,8,4.0,0.0,5139.0,0.0,452.0,1,1,6,3+ branch,0 no foreign neighbour,128.65699768066406,4.777528545581561
40,0,0,4.0,0.0,5139.0,0.75,914.0,0,0,6,3+ branch,mixed,166.2530059814453,0.8305231065306887
41,5,5,3.0,0.0,5139.0,0.0,336.0,1,1,6,3+ branch,0 no foreign neighbour,156.3719940185547,10.792971413661764
42,3,3,4.0,0.0,5139.0,0.0,295.0,1,1,6,3+ branch,0 no foreign neighbour,120.63800048828125,5.39153659898024
43,6,6,3.0,0.0,5139.0,0.3333333333333333,733.0,1,1,6,3+ branch,mixed,140.6790008544922,3.4230873892997944
44,4,4,4.0,0.0,5139.0,0.0,543.0,1,1,6,3+ branch,0 no foreign neighbour,213.2550048828125,1.839290985107453
45,4,4,4.0,0.0,5139.0,0.75,543.0,1,1,6,3+ branch,mixed,247.5019989013672,1.451141222554964
46,6,6,4.0,0.0,5139.0,0.5,733.0,1,1,6,3+ branch,mixed,118.5530014038086,3.2210951079075505
47,7,7,3.0,0.0,5139.0,0.3333333333333333,984.0,0,0,0,3+ branch,mixed,84.8759994506836,2.827382958729364
48,1,1,4.0,0.0,5139.0,0.0,276.0,1,1,6,3+ branch,0 no foreign neighbour,223.06900024414062,5.3227686288928355
49,0,0,4.0,0.0,5139.0,0.5,914.0,0,0,2,3+ branch,mixed,134.16700744628906,1.9443932574307345
50,0,0,2.0,0.0,5139.0,0.0,914.0,0,0,2,2 path,0 no foreign neighbour,132.68899536132812,12.446078297665823
51,0,0,3.0,0.0,5139.0,0.6666666666666666,914.0,0,0,6,3+ branch,mixed,190.23599243164062,1.0423277102632955
52,7,7,4.0,0.0,5139.0,0.5,984.0,0,0,0,3+ branch,mixed,117.31600189208984,2.7033205991355826
53,0,0,1.0,0.0,5139.0,1.0,914.0,0,0,2,1 tip,1 all neighbours foreign,172.39700317382812,1.0114629092325669
54,8,8,3.0,0.0,5139.0,0.6666666666666666,452.0,1,1,4,3+ branch,mixed,1386.47998046875,4.56212963985579
55,0,0,2.0,0.0,5139.0,0.5,914.0,0,0,2,2 path,mixed,133.3459930419922,16.72840652217419
56,0,0,4.0,0.0,5139.0,0.25,914.0,0,0,6,3+ branch,mixed,130.64300537109375,0.672538730327001
57,8,8,3.0,0.0,5139.0,0.3333333333333333,452.0,1,1,4,3+ branch,mixed,231.06500244140625,4.910094382578897
58,7,7,3.0,0.0,5139.0,0.3333333333333333,984.0,0,0,0,3+ branch,mixed,14.459500312805176,2.8413132066480924
59,7,7,2.0,0.0,5139.0,0.5,984.0,1,1,6,2 path,mixed,186.79200744628906,2.8196901233484395
60,7,7,2.0,0.0,5139.0,0.0,984.0,1,1,6,2 path,0 no foreign neighbour,20.368999481201172,2.8291162020637635
61,7,7,3.0,0.0,5139.0,0.0,984.0,1,1,4,3+ branch,0 no foreign neighbour,241.48800659179688,2.813114987565313
62,5,5,4.0,0.0,5139.0,0.0,336.0,1,1,0,3+ branch,0 no foreign neighbour,101.16500091552734,10.636932452559575
63,0,0,3.0,0.0,5139.0,0.3333333333333333,914.0,0,0,2,3+ branch,mixed,134.4429931640625,7.881946974088254
64,4,4,4.0,0.0,5139.0,0.5,543.0,1,1,2,3+ branch,mixed,134.08700561523438,7.206043282715351
65,1,1,3.0,0.0,5139.0,0.0,276.0,1,1,6,3+ branch,0 no foreign neighbour,116.61499786376953,5.152697296100452
66,7,7,4.0,0.0,5139.0,0.5,984.0,1,1,6,3+ branch,mixed,129.11300659179688,2.5209053227410148
67,0,0,3.0,0.0,5139.0,0.3333333333333333,914.0,0,0,2,3+ branch,mixed,135.04600524902344,1.2403031727042906
68,4,4,3.0,0.0,5139.0,0.6666666666666666,543.0,1,1,2,3+ branch,mixed,130.447998046875,9.887905982891507
69,7,7,4.0,0.0,5139.0,0.5,984.0,1,1,6,3+ branch,mixed,67.3031997680664,2.7254393406489217
70,6,6,4.0,0.0,5139.0,0.5,733.0,1,1,0,3+ branch,mixed,95.25440216064453,3.3003330146670056
71,2,2,4.0,0.0,5139.0,0.0,234.0,1,1,6,3+ branch,0 no foreign neighbour,88.09439849853516,8.105610693647849
72,8,8,4.0,0.0,5139.0,0.0,452.0,1,1,6,3+ branch,0 no foreign neighbour,120.55599975585938,4.305255858986795
73,0,0,3.0,0.0,5139.0,0.3333333333333333,914.0,0,0,2,3+ branch,mixed,129.16600036621094,1.4401619460851445
74,6,6,3.0,0.0,5139.0,0.3333333333333333,733.0,0,0,4,3+ branch,mixed,525.3839721679688,3.4348088837597985
75,6,6,3.0,0.0,5139.0,0.6666666666666666,733.0,0,0,4,3+ branch,mixed,90.76920318603516,3.4190686726360955
76,8,8,3.0,0.0,5139.0,0.3333333333333333,452.0,1,1,6,3+ branch,mixed,193.9040069580078,4.8557920687510014
77,8,8,3.0,0.0,5139.0,0.0,452.0,1,1,4,3+ branch,0 no foreign neighbour,225.90899658203125,4.886696198247531
78,8,8,2.0,0.0,5139.0,0.5,452.0,1,1,4,2 path,mixed,131.77999877929688,4.891396953417677
79,5,5,4.0,0.0,5139.0,0.0,336.0,1,1,0,3+ branch,0 no foreign neighbour,118.7040023803711,10.048974961047875
80,7,7,4.0,0.0,5139.0,0.0,984.0,0,0,9,3+ branch,0 no foreign neighbour,132.4080047607422,1.3408640667943061
81,8,8,3.0,0.0,5139.0,0.0,452.0,1,1,6,3+ branch,0 no foreign neighbour,103.81300354003906,4.835038755235967
82,6,6,2.0,0.0,5139.0,0.0,733.0,1,1,0,2 path,0 no foreign neighbour,101.91699981689453,3.3043860160228786
83,6,6,4.0,0.0,5139.0,0.5,733.0,1,1,6,3+ branch,mixed,98.92769622802734,3.309010485174095
84,0,0,3.0,0.0,5139.0,0.3333333333333333,914.0,1,1,4,3+ branch,mixed,838.9550170898438,0.7566611455383547
85,6,6,4.0,0.0,5139.0,0.5,733.0,1,1,6,3+ branch,mixed,123.39800262451172,3.014105554711579
