node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,depth,kmer_distance_to_class_mean
0,3,3,0.0,0.0,1.0,,30.0,1,1,7,0 isolated,,2.7479400634765625,16.318668335460877
1,3,3,0.0,0.0,1.0,,30.0,1,0,8,0 isolated,,3.042259931564331,3.372779823131618
2,4,4,0.0,0.0,1.0,,33.0,1,1,9,0 isolated,,2.8036599159240723,14.73527774044172
3,8,8,0.0,0.0,1.0,,50.0,0,0,8,0 isolated,,2.9207799434661865,1.596100488989712
4,2,2,0.0,0.0,1.0,,38.0,1,0,8,0 isolated,,3.0687899589538574,1.3174709886017173
5,6,6,7.0,0.0,8.0,1.0,51.0,1,1,3,3+ branch,1 all neighbours foreign,3.587589979171753,1.712284997188552
6,7,7,0.0,0.0,1.0,,89.0,0,0,3,0 isolated,,1.789739966392517,1.1748573573226526
7,7,7,0.0,0.0,1.0,,89.0,1,1,9,0 isolated,,2.9593300819396973,10.866184751219334
8,7,7,0.0,0.0,1.0,,89.0,0,0,5,0 isolated,,4.852350234985352,12.025250224730145
9,7,7,1.0,0.0,8.0,1.0,89.0,0,0,3,1 tip,1 all neighbours foreign,3.3808600902557373,2.8446587905095932
10,8,8,1.0,0.0,8.0,1.0,50.0,1,0,3,1 tip,1 all neighbours foreign,3.1157898902893066,1.727230395453012
11,7,7,1.0,0.0,8.0,1.0,89.0,0,0,3,1 tip,1 all neighbours foreign,3.37650990486145,11.724664597297963
12,8,8,1.0,0.0,8.0,1.0,50.0,1,1,3,1 tip,1 all neighbours foreign,3.010240077972412,1.9209315402594027
13,7,7,1.0,0.0,8.0,1.0,89.0,0,0,2,1 tip,1 all neighbours foreign,2.951479911804199,21.177999476458382
14,6,6,0.0,0.0,1.0,,51.0,1,0,9,0 isolated,,2.708509922027588,6.576574213047537
15,7,7,0.0,0.0,1.0,,89.0,1,1,1,0 isolated,,1.405310034751892,7.81959203750185
