node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,depth,kmer_distance_to_class_mean
0,9,9,1.0,0.0,5.0,0.0,5.0,1,0,6,1 tip,0 no foreign neighbour,22.418100357055664,16.814781517032927
1,9,9,4.0,0.0,5.0,0.0,5.0,1,1,1,3+ branch,0 no foreign neighbour,71.68710327148438,14.385331124803075
2,9,9,1.0,0.0,5.0,0.0,5.0,1,0,6,1 tip,0 no foreign neighbour,23.70240020751953,1.3777373923656093
3,9,9,1.0,0.0,5.0,0.0,5.0,1,0,6,1 tip,0 no foreign neighbour,21.754199981689453,2.7150691397216065
4,9,9,1.0,0.0,5.0,0.0,5.0,1,0,6,1 tip,0 no foreign neighbour,22.78580093383789,1.2109250543428034
5,1,1,1.0,0.0,4.0,0.0,4.0,0,0,3,1 tip,0 no foreign neighbour,13.642900466918945,35.56340760961122
6,1,1,3.0,0.0,4.0,0.0,4.0,1,1,6,3+ branch,0 no foreign neighbour,24.899200439453125,19.295827299903944
7,1,1,1.0,0.0,4.0,0.0,4.0,1,0,6,1 tip,0 no foreign neighbour,11.940199851989746,3.9911040220654486
8,1,1,1.0,0.0,4.0,0.0,4.0,0,0,3,1 tip,0 no foreign neighbour,12.521900177001953,12.364800051688915
9,3,3,2.0,1.0,130.0,0.0,19.0,1,1,6,2 path,0 no foreign neighbour,7.949349880218506,4.094496028958886
10,3,3,10.0,0.17777778208255768,130.0,0.4,19.0,1,1,1,3+ branch,mixed,87.8561019897461,4.59010375112872
11,3,3,11.0,0.16363635659217834,130.0,0.36363636363636365,19.0,0,0,8,3+ branch,mixed,127.6500015258789,4.593634142498892
12,0,0,3.0,0.0,130.0,0.0,80.0,0,0,0,3+ branch,0 no foreign neighbour,17.235300064086914,0.6148546697050469
13,3,3,3.0,0.6666666865348816,130.0,0.0,19.0,1,0,6,3+ branch,0 no foreign neighbour,10.310700416564941,9.210369888252378
14,3,3,3.0,0.3333333432674408,130.0,0.0,19.0,1,1,6,3+ branch,0 no foreign neighbour,11.337900161743164,3.296200753897993
15,3,3,3.0,0.3333333432674408,130.0,0.0,19.0,1,1,6,3+ branch,0 no foreign neighbour,11.203499794006348,0.6788671287095005
16,0,0,2.0,0.0,130.0,0.5,80.0,0,0,0,2 path,mixed,17.267900466918945,0.6255531150407553
17,3,3,2.0,0.0,130.0,0.0,19.0,1,1,5,2 path,0 no foreign neighbour,10.172499656677246,7.931332085673418
18,3,3,1.0,0.0,130.0,0.0,19.0,1,1,6,1 tip,0 no foreign neighbour,10.458999633789062,8.20304354395819
19,3,3,5.0,0.0,130.0,0.4,19.0,1,0,1,3+ branch,mixed,56.24330139160156,4.5904863169142045
20,3,3,2.0,1.0,130.0,0.0,19.0,1,0,6,2 path,0 no foreign neighbour,10.316800117492676,33.66818891575603
21,3,3,4.0,0.3333333432674408,130.0,0.5,19.0,1,0,1,3+ branch,mixed,23.65530014038086,4.593734261688548
22,3,3,2.0,0.0,130.0,0.0,19.0,1,1,6,2 path,0 no foreign neighbour,5.952290058135986,2.68802299892728
23,4,4,3.0,0.3333333432674408,130.0,0.3333333333333333,47.0,1,1,6,3+ branch,mixed,21.093700408935547,0.4114121274257132
24,4,4,2.0,1.0,130.0,0.5,47.0,1,0,7,2 path,mixed,4.285830020904541,2.737859934745755
25,3,3,4.0,0.0,130.0,0.0,19.0,1,1,6,3+ branch,0 no foreign neighbour,17.7544002532959,4.51215996813286
26,3,3,1.0,0.0,130.0,0.0,19.0,1,1,7,1 tip,0 no foreign neighbour,13.318499565124512,3.9115252885142007
27,3,3,2.0,0.0,130.0,0.5,19.0,1,1,7,2 path,mixed,7.12952995300293,3.7193985237719054
28,0,0,2.0,0.0,130.0,0.5,80.0,0,0,0,2 path,mixed,12.14169979095459,0.25247809288693285
29,4,4,2.0,0.0,130.0,0.5,47.0,1,1,6,2 path,mixed,2.9417901039123535,0.9830763015495613
30,0,0,4.0,0.0,130.0,0.5,80.0,0,0,5,3+ branch,mixed,17.51919937133789,0.6288121164835833
31,3,3,1.0,0.0,130.0,1.0,19.0,1,1,0,1 tip,1 all neighbours foreign,5.969759941101074,4.174716637581874
32,0,0,2.0,0.0,130.0,0.0,80.0,0,0,0,2 path,0 no foreign neighbour,11.66349983215332,0.513721327053757
33,3,3,1.0,0.0,130.0,1.0,19.0,1,1,0,1 tip,1 all neighbours foreign,6.029099941253662,4.401082627035394
34,0,0,2.0,0.0,130.0,0.5,80.0,1,1,6,2 path,mixed,1.0,0.6582326494897496
35,0,0,2.0,0.0,130.0,0.5,80.0,0,0,0,2 path,mixed,17.426300048828125,0.6411612222583157
36,0,0,4.0,0.0,130.0,0.25,80.0,0,0,7,3+ branch,mixed,23.28849983215332,0.12635782713448931
37,0,0,2.0,0.0,130.0,0.0,80.0,0,0,5,2 path,0 no foreign neighbour,14.229700088500977,0.972357647428733
38,0,0,4.0,0.0,130.0,0.5,80.0,0,0,0,3+ branch,mixed,14.868900299072266,0.5727167287542438
39,4,4,2.0,0.0,130.0,0.5,47.0,1,1,5,2 path,mixed,6.431099891662598,0.640331660150325
40,0,0,2.0,0.0,130.0,0.0,80.0,0,0,5,2 path,0 no foreign neighbour,16.178600311279297,0.45388469566358264
41,4,4,1.0,0.0,130.0,1.0,47.0,1,0,5,1 tip,1 all neighbours foreign,3.042259931564331,0.49032567345684447
42,0,0,4.0,0.0,130.0,0.0,80.0,1,0,6,3+ branch,0 no foreign neighbour,29.105899810791016,0.6237942378716322
43,0,0,2.0,0.0,130.0,0.5,80.0,0,0,0,2 path,mixed,12.277400016784668,0.23700797392322467
44,0,0,2.0,0.0,130.0,0.0,80.0,0,0,5,2 path,0 no foreign neighbour,17.547199249267578,0.17126571707847493
45,0,0,2.0,0.0,130.0,0.0,80.0,0,0,5,2 path,0 no foreign neighbour,10.806500434875488,0.733157898619165
