node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,coverage,length,gc,n_sample_colors
0,0,unclassified_or_mixed,4.0,0.0,394.0,1.0,80.0,0,0,1,3+ branch,1 all neighbours foreign,19.4286,28.0,0.4642857142857143,2.0
1,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,1.9765,276.0,0.38768115942028986,2.0
2,3,T4,1.0,0.0,14.0,0.0,389.0,0,0,4,1 tip,0 no foreign neighbour,1.9719,306.0,0.3562091503267974,2.0
3,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,3.5514,128.0,0.203125,2.0
4,2,T3,2.0,0.0,394.0,1.0,156.0,0,0,3,2 path,1 all neighbours foreign,7.2589,133.0,0.5338345864661654,0.0
5,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.54,121.0,0.4462809917355372,1.0
6,4,T5,1.0,0.0,6.0,0.0,177.0,1,1,4,1 tip,0 no foreign neighbour,3.4739,614.0,0.4185667752442997,1.0
7,4,T5,2.0,0.0,6.0,0.0,177.0,1,1,3,2 path,0 no foreign neighbour,5.0,39.0,0.28205128205128205,1.0
8,2,T3,2.0,0.0,394.0,0.5,156.0,0,0,3,2 path,mixed,7.9218,430.0,0.47674418604651164,1.0
9,5,T7,2.0,0.0,394.0,1.0,163.0,1,0,3,2 path,1 all neighbours foreign,6.0804,133.0,0.5413533834586466,0.0
10,5,T7,3.0,0.0,394.0,0.6666666666666666,163.0,1,1,1,3+ branch,mixed,12.3333,54.0,0.46296296296296297,1.0
11,2,T3,3.0,0.0,394.0,0.6666666666666666,156.0,1,1,1,3+ branch,mixed,21.2727,54.0,0.5,1.0
12,3,T4,0.0,0.0,1.0,,389.0,0,0,0,0 isolated,,2.9044,743.0,0.32301480484522205,2.0
13,5,T7,4.0,0.0,394.0,0.5,163.0,1,1,1,3+ branch,mixed,12.5191,204.0,0.44607843137254904,1.0
14,4,T5,0.0,0.0,1.0,,177.0,1,1,0,0 isolated,,2.9805,431.0,0.37354988399071926,1.0
