node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,dist_from_mean_coordinate
0,4,secondary,2.0,0.0,575.0,0.5,46.0,1,1,2,2 path,mixed,0.003529556794092059
1,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,2,2 path,mixed,0.003790409304201603
2,4,secondary,3.0,0.0,575.0,0.3333333333333333,46.0,1,1,4,3+ branch,mixed,0.0029470189474523067
3,4,secondary,1.0,0.0,575.0,0.0,46.0,1,1,4,1 tip,0 no foreign neighbour,0.0026846230030059814
4,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,2,2 path,mixed,0.0016990357544273138
5,2,path,2.0,0.0,575.0,0.0,70.0,1,1,6,2 path,0 no foreign neighbour,0.00928403902798891
6,2,path,2.0,0.0,575.0,0.5,70.0,1,1,6,2 path,mixed,0.007621758617460728
7,2,path,2.0,0.0,575.0,1.0,70.0,1,1,0,2 path,1 all neighbours foreign,0.007200596854090691
8,1,footway,2.0,0.0,575.0,0.5,39.0,1,1,6,2 path,mixed,0.010445276275277138
9,1,footway,0.0,0.0,575.0,,39.0,1,1,6,0 isolated,,0.010677292943000793
10,2,path,2.0,0.0,575.0,0.5,70.0,1,1,6,2 path,mixed,0.009239697828888893
11,1,footway,1.0,0.0,575.0,0.0,39.0,1,1,6,1 tip,0 no foreign neighbour,0.008837110362946987
12,2,path,2.0,0.0,575.0,0.5,70.0,1,1,6,2 path,mixed,0.010301250033080578
13,1,footway,1.0,0.0,575.0,0.0,39.0,1,1,6,1 tip,0 no foreign neighbour,0.008467220701277256
14,2,path,1.0,0.0,575.0,1.0,70.0,0,0,8,1 tip,1 all neighbours foreign,0.005329673178493977
15,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,0,2 path,mixed,0.005243042949587107
16,1,footway,2.0,0.0,575.0,1.0,39.0,1,1,2,2 path,1 all neighbours foreign,0.0014517566887661815
17,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,2,2 path,0 no foreign neighbour,0.0010375697165727615
18,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,2,2 path,mixed,0.00161708181258291
19,1,footway,1.0,0.0,575.0,0.0,39.0,1,1,2,1 tip,0 no foreign neighbour,0.0015577247831970453
20,3,residential,0.0,0.0,575.0,,260.0,0,0,6,0 isolated,,0.01222900953143835
21,4,secondary,3.0,0.0,575.0,0.3333333333333333,46.0,1,1,4,3+ branch,mixed,0.00413720216602087
22,4,secondary,1.0,0.0,575.0,0.0,46.0,1,1,4,1 tip,0 no foreign neighbour,0.0036590832751244307
23,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,2,2 path,mixed,0.007424166426062584
24,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,2,1 tip,0 no foreign neighbour,0.007079679518938065
25,3,residential,3.0,0.0,575.0,0.0,260.0,0,0,2,3+ branch,0 no foreign neighbour,0.006272963248193264
26,3,residential,2.0,0.0,575.0,0.5,260.0,1,0,5,2 path,mixed,0.004577549174427986
27,2,path,0.0,0.0,575.0,,70.0,1,1,5,0 isolated,,0.005483036395162344
28,3,residential,2.0,0.0,575.0,0.5,260.0,1,0,5,2 path,mixed,0.0039529092609882355
29,2,path,0.0,0.0,575.0,,70.0,1,1,5,0 isolated,,0.004852748475968838
30,3,residential,2.0,0.0,575.0,0.5,260.0,1,0,8,2 path,mixed,0.003465571440756321
31,2,path,0.0,0.0,575.0,,70.0,0,0,8,0 isolated,,0.0043722111731767654
32,3,residential,1.0,0.0,575.0,1.0,260.0,1,0,8,1 tip,1 all neighbours foreign,0.0031635502818971872
33,2,path,0.0,0.0,575.0,,70.0,0,0,8,0 isolated,,0.0040771011263132095
34,3,residential,1.0,0.0,575.0,1.0,260.0,1,0,8,1 tip,1 all neighbours foreign,0.0029948465526103973
35,2,path,0.0,0.0,575.0,,70.0,0,0,8,0 isolated,,0.0035783906932920218
36,3,residential,2.0,0.0,575.0,0.0,260.0,1,0,5,2 path,0 no foreign neighbour,0.003636552719399333
37,3,residential,1.0,0.0,575.0,1.0,260.0,1,0,5,1 tip,1 all neighbours foreign,0.003057384630665183
38,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,0,1 tip,0 no foreign neighbour,0.004072518087923527
39,3,residential,2.0,1.0,575.0,0.0,260.0,0,0,0,2 path,0 no foreign neighbour,0.0029509810265153646
40,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,0,2 path,0 no foreign neighbour,0.006473536137491465
41,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,0,1 tip,0 no foreign neighbour,0.00714428536593914
42,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,6,2 path,mixed,0.00838626641780138
43,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,0,1 tip,0 no foreign neighbour,0.010357250459492207
44,5,service,1.0,0.0,575.0,1.0,116.0,1,1,2,1 tip,1 all neighbours foreign,0.0018396041123196483
45,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,2,1 tip,0 no foreign neighbour,0.001779091195203364
46,3,residential,2.0,0.0,575.0,0.0,260.0,1,0,8,2 path,0 no foreign neighbour,0.002219004323706031
47,3,residential,0.0,0.0,575.0,,260.0,0,0,2,0 isolated,,0.0025781511794775724
48,4,secondary,2.0,1.0,575.0,1.0,46.0,1,1,3,2 path,1 all neighbours foreign,0.011320820078253746
49,2,path,2.0,0.0,575.0,0.5,70.0,1,1,3,2 path,mixed,0.012411246076226234
50,2,path,2.0,0.0,575.0,0.5,70.0,1,1,7,2 path,mixed,0.011142786592245102
51,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,1,2 path,0 no foreign neighbour,0.007588277105242014
52,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,1,1 tip,0 no foreign neighbour,0.00854259729385376
53,4,secondary,2.0,0.0,575.0,0.5,46.0,1,1,2,2 path,mixed,0.003153684316202998
54,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,2,2 path,0 no foreign neighbour,0.0020458591170608997
55,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,0,2 path,0 no foreign neighbour,0.006229809485375881
56,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,6,2 path,0 no foreign neighbour,0.007172309327870607
57,4,secondary,2.0,0.0,575.0,0.5,46.0,0,0,5,2 path,mixed,0.007412581238895655
58,2,path,2.0,0.0,575.0,0.0,70.0,0,0,8,2 path,0 no foreign neighbour,0.005136116873472929
59,2,path,2.0,0.0,575.0,0.5,70.0,1,1,1,2 path,mixed,0.009668652899563313
60,3,residential,0.0,0.0,575.0,,260.0,0,0,1,0 isolated,,0.008887425065040588
61,2,path,1.0,0.0,575.0,0.0,70.0,1,1,1,1 tip,0 no foreign neighbour,0.010315255261957645
62,2,path,1.0,0.0,575.0,1.0,70.0,1,1,1,1 tip,1 all neighbours foreign,0.010691151022911072
63,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,1,2 path,mixed,0.009726106189191341
64,2,path,1.0,0.0,575.0,0.0,70.0,1,1,1,1 tip,0 no foreign neighbour,0.011021834798157215
65,3,residential,2.0,0.0,575.0,0.5,260.0,1,0,7,2 path,mixed,0.00993096549063921
66,2,path,2.0,1.0,575.0,0.0,70.0,1,1,7,2 path,0 no foreign neighbour,0.01141397561877966
67,3,residential,0.0,0.0,575.0,,260.0,1,0,7,0 isolated,,0.010665545240044594
68,2,path,1.0,0.0,575.0,1.0,70.0,1,1,7,1 tip,1 all neighbours foreign,0.011318709701299667
69,2,path,2.0,0.0,575.0,0.0,70.0,1,1,1,2 path,0 no foreign neighbour,0.010794375091791153
70,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,1,1 tip,0 no foreign neighbour,0.009521626867353916
71,2,path,1.0,0.0,575.0,0.0,70.0,1,1,1,1 tip,0 no foreign neighbour,0.011307891458272934
72,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,1,2 path,0 no foreign neighbour,0.007538015954196453
73,3,residential,0.0,0.0,575.0,,260.0,0,0,1,0 isolated,,0.00686279684305191
74,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,1,2 path,0 no foreign neighbour,0.0075766234658658504
75,3,residential,0.0,0.0,575.0,,260.0,0,0,1,0 isolated,,0.006880523171275854
76,3,residential,2.0,0.0,575.0,0.0,260.0,1,0,7,2 path,0 no foreign neighbour,0.008586525917053223
77,3,residential,0.0,0.0,575.0,,260.0,1,0,7,0 isolated,,0.007968086749315262
78,3,residential,2.0,0.0,575.0,1.0,260.0,0,0,1,2 path,1 all neighbours foreign,0.005124581512063742
79,4,secondary,1.0,0.0,575.0,0.0,46.0,1,1,4,1 tip,0 no foreign neighbour,0.00563292670994997
80,1,footway,2.0,0.0,575.0,0.0,39.0,1,1,0,2 path,0 no foreign neighbour,0.004415742587298155
81,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,0,2 path,mixed,0.00410205265507102
82,3,residential,0.0,0.0,575.0,,260.0,0,0,0,0 isolated,,0.004535065498203039
83,2,path,1.0,0.0,575.0,0.0,70.0,0,0,8,1 tip,0 no foreign neighbour,0.005047237500548363
84,7,unclassified,2.0,0.0,575.0,0.5,13.0,1,1,8,2 path,mixed,0.005379379726946354
85,2,path,1.0,0.0,575.0,0.0,70.0,0,0,8,1 tip,0 no foreign neighbour,0.0048903897404670715
86,7,unclassified,2.0,0.0,575.0,0.5,13.0,1,1,5,2 path,mixed,0.005862494930624962
87,2,path,1.0,0.0,575.0,0.0,70.0,1,1,5,1 tip,0 no foreign neighbour,0.00538110313937068
88,2,path,2.0,0.0,575.0,0.0,70.0,0,0,8,2 path,0 no foreign neighbour,0.0038406436797231436
89,1,footway,1.0,0.0,575.0,1.0,39.0,1,1,0,1 tip,1 all neighbours foreign,0.0039550550282001495
90,2,path,1.0,0.0,575.0,0.0,70.0,1,1,0,1 tip,0 no foreign neighbour,0.0039223008789122105
91,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,1,1 tip,0 no foreign neighbour,0.008582724258303642
92,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,0,2 path,0 no foreign neighbour,0.008876493200659752
93,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,0,2 path,0 no foreign neighbour,0.009370400570333004
94,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,6,2 path,0 no foreign neighbour,0.005033365450799465
95,5,service,1.0,0.0,575.0,1.0,116.0,1,1,2,1 tip,1 all neighbours foreign,0.002871294040232897
96,4,secondary,1.0,0.0,575.0,0.0,46.0,1,1,2,1 tip,0 no foreign neighbour,0.002890565898269415
97,3,residential,2.0,0.0,575.0,0.0,260.0,1,0,7,2 path,0 no foreign neighbour,0.010039043612778187
98,3,residential,0.0,0.0,575.0,,260.0,1,0,7,0 isolated,,0.00943334586918354
99,8,Unclassified,0.0,0.0,1.0,,13.0,1,1,7,0 isolated,,0.009272979572415352
100,5,service,2.0,0.0,575.0,0.5,116.0,1,1,5,2 path,mixed,0.011101456359028816
101,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,2,1 tip,0 no foreign neighbour,0.009355034679174423
102,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,2,2 path,0 no foreign neighbour,0.004573770333081484
103,3,residential,0.0,0.0,575.0,,260.0,0,0,2,0 isolated,,0.004832286853343248
104,0,cycleway,3.0,0.0,575.0,0.6666666666666666,30.0,1,1,2,3+ branch,mixed,0.005699510220438242
105,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,2,2 path,0 no foreign neighbour,0.005940967705100775
106,3,residential,0.0,0.0,575.0,,260.0,0,0,2,0 isolated,,0.00558427581563592
107,3,residential,0.0,0.0,575.0,,260.0,0,0,2,0 isolated,,0.004754455294460058
108,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,2,1 tip,0 no foreign neighbour,0.007720514666289091
109,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,2,2 path,0 no foreign neighbour,0.007272442802786827
110,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,2,1 tip,0 no foreign neighbour,0.007559041492640972
111,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,2,1 tip,0 no foreign neighbour,0.0069237989373505116
112,3,residential,2.0,0.0,575.0,0.0,260.0,0,0,2,2 path,0 no foreign neighbour,0.0070032235234975815
113,3,residential,0.0,0.0,575.0,,260.0,0,0,2,0 isolated,,0.006871483754366636
114,0,cycleway,3.0,0.0,575.0,0.3333333333333333,30.0,1,1,2,3+ branch,mixed,0.004194166045635939
115,0,cycleway,2.0,0.0,575.0,1.0,30.0,1,1,2,2 path,1 all neighbours foreign,0.003922632429748774
116,3,residential,2.0,0.0,575.0,0.5,260.0,0,0,2,2 path,mixed,0.0050613125786185265
117,3,residential,1.0,0.0,575.0,0.0,260.0,0,0,2,1 tip,0 no foreign neighbour,0.0037263245321810246
118,0,cycleway,0.0,0.0,575.0,,30.0,1,1,2,0 isolated,,0.0048898132517933846
