node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,coverage,dist_from_mean_coordinate,n_modes,n_routes
0,0,bus,2.0,1.0,4562.0,0.0,3145.0,0,0,6,2 path,0 no foreign neighbour,731.31591796875,0.21023894846439362,1.0,11.0
1,0,bus,1.0,0.0,4562.0,1.0,3145.0,0,0,4,1 tip,1 all neighbours foreign,108.21859741210938,0.01586422696709633,1.0,2.0
2,3,bus+trolley,3.0,0.0,4562.0,0.0,610.0,1,1,4,3+ branch,0 no foreign neighbour,425.76690673828125,0.010282108560204506,2.0,8.0
3,2,bus+tram+trolley,5.0,0.0,4562.0,0.6,88.0,1,1,4,3+ branch,mixed,298.7049255371094,0.015118534676730633,3.0,5.0
4,3,bus+trolley,1.0,0.0,4562.0,0.0,610.0,1,1,4,1 tip,0 no foreign neighbour,217.8396759033203,0.025322508066892624,2.0,4.0
5,1,bus+tram,2.0,0.0,4562.0,1.0,149.0,1,1,4,2 path,1 all neighbours foreign,182.1178436279297,0.040593527257442474,2.0,3.0
6,0,bus,2.0,0.0,4562.0,0.0,3145.0,0,0,0,2 path,0 no foreign neighbour,156.56179809570312,0.18074871599674225,1.0,3.0
7,0,bus,1.0,0.0,4562.0,0.0,3145.0,0,0,2,1 tip,0 no foreign neighbour,35.44072723388672,0.41195404529571533,1.0,1.0
8,2,bus+tram+trolley,3.0,0.0,4562.0,0.3333333333333333,88.0,1,1,4,3+ branch,mixed,298.7049255371094,0.016643723472952843,3.0,5.0
9,0,bus,1.0,0.0,4562.0,1.0,3145.0,0,0,4,1 tip,1 all neighbours foreign,199.1723175048828,0.014649788849055767,1.0,3.0
10,0,bus,2.0,0.0,4562.0,0.0,3145.0,0,0,4,2 path,0 no foreign neighbour,245.42333984375,0.2768457531929016,1.0,6.0
11,0,bus,2.0,0.0,4562.0,0.0,3145.0,0,0,3,2 path,0 no foreign neighbour,161.4864044189453,0.25472110509872437,1.0,3.0
12,0,bus,2.0,0.0,4562.0,0.0,3145.0,0,0,3,2 path,0 no foreign neighbour,161.4864044189453,0.2618703842163086,1.0,3.0
13,0,bus,2.0,0.0,4562.0,0.0,3145.0,0,0,2,2 path,0 no foreign neighbour,45.96323013305664,0.3147421181201935,1.0,1.0
14,0,bus,0.0,0.0,4562.0,,3145.0,0,0,2,0 isolated,,45.96323013305664,0.37789663672447205,1.0,1.0
15,0,bus,1.0,0.0,4562.0,0.0,3145.0,0,0,2,1 tip,0 no foreign neighbour,127.79696655273438,0.9171947836875916,1.0,2.0
16,0,bus,1.0,0.0,4562.0,0.0,3145.0,0,0,2,1 tip,0 no foreign neighbour,103.18426513671875,0.16629905998706818,1.0,3.0
17,0,bus,2.0,0.0,4562.0,0.5,3145.0,0,0,4,2 path,mixed,140.14976501464844,0.09631161391735077,1.0,2.0
