node,label,label_name,degree,clustering,component_size,boundary,class_size,error,stable_error,cluster,degree_bin,boundary_bin,depth,kmer_distance_to_class_mean
0,48,48,3.0,0.0,30.0,0.3333333333333333,18.0,0,0,64,3+ branch,mixed,15.993900299072266,0.9229496112954121
1,40,40,0.0,0.0,1.0,,12.0,0,0,76,0 isolated,,15.923100471496582,0.8693828008571634
2,64,64,0.0,0.0,1.0,,17.0,1,1,9,0 isolated,,28.980899810791016,3.1918888508998213
3,8,8,0.0,0.0,1.0,,14.0,0,0,28,0 isolated,,1.959190011024475,3.40211139730531
4,0,0,0.0,0.0,1.0,,32.0,0,0,58,0 isolated,,2.706559896469116,4.676036051694213
5,16,16,0.0,0.0,1.0,,3.0,0,0,20,0 isolated,,36.273399353027344,3.104817108640061
6,51,51,0.0,0.0,1.0,,45.0,0,0,16,0 isolated,,9.849379539489746,3.758120736520432
7,3,3,0.0,0.0,1.0,,4.0,0,0,71,0 isolated,,14.91189956665039,1.5263196042123308
8,14,14,0.0,0.0,1.0,,12.0,0,0,8,0 isolated,,181.71200561523438,19.54736384802346
9,77,77,0.0,0.0,1.0,,22.0,0,0,14,0 isolated,,10.823800086975098,4.060644715268252
10,24,24,0.0,0.0,1.0,,3.0,1,1,54,0 isolated,,2.4715800285339355,3.181255493854624
11,22,22,3.0,0.6666666865348816,5.0,1.0,15.0,1,1,66,3+ branch,1 all neighbours foreign,3.430989980697632,4.103113418584728
12,0,0,0.0,0.0,1.0,,32.0,0,0,19,0 isolated,,2.6166000366210938,2.9283589490963418
13,8,8,0.0,0.0,1.0,,14.0,1,0,63,0 isolated,,3.10863995552063,4.027319175790345
14,8,8,2.0,0.0,5.0,1.0,14.0,0,0,28,2 path,1 all neighbours foreign,5.650310039520264,5.972230618733607
15,0,0,0.0,0.0,1.0,,32.0,0,0,19,0 isolated,,1.6291199922561646,2.57925542635618
16,0,0,0.0,0.0,1.0,,32.0,0,0,58,0 isolated,,3.327159881591797,2.423983818296165
