dense_id	source_id	cfa_node_ids
0	3	3
1	7	7
2	11	11
3	13	13
4	15	15
5	17	17
6	19	19
7	21	21
8	23	23
9	25	25
10	29	29
11	35	35
12	39	39
13	53	53
14	67	67
15	77	77
16	79	79
17	85	85
18	93	93
19	99	99
20	103	103
21	105	105
22	119	119
23	129	129
24	135	135
25	153	153
26	163	163
27	177	177
28	191	191
29	195	195
30	201	201
31	207	207
32	211	211
33	213	213
34	227	227
35	229	229
36	239	239
37	245	245
38	247	247
39	257	257
40	263	263
41	265	265
42	269	269
43	277	277
44	291	291
45	293	293
46	305	305
47	309	309
48	311	311
49	323	323
50	335	335
51	341	341
52	353	353
53	357	357
54	371	371
55	389	389
56	401	401
57	431	431
58	437	437
59	439	439
60	441	441
61	443	443
62	455	455
63	479	479
64	491	491
65	497	497
66	509	509
67	521	521
68	539	539
69	551	551
70	581	581
71	611	611
72	617	617
73	635	635
74	733	733
75	749	749
76	751	751
77	753	753
78	755	755
79	767	767
80	773	773
81	847	847
82	855	855
83	875	875
84	971	971
85	989	989
86	995	995
87	999	999
88	1003	1003
89	1009	1009
90	1027	1027
91	1045	1045
92	1051	1051
93	1057	1057
94	1089	1089
95	1133	1133
96	1135	1135
97	1137	1137
98	1143	1143
99	1149	1149
100	1155	1155
101	1167	1167
102	1197	1197
103	1199	1199
104	1205	1205
105	1211	1211
106	1223	1223
107	1241	1241
108	1249	1249
109	1251	1251
110	1253	1253
111	1259	1259
112	1271	1271
113	1277	1277
114	1287	1287
115	1297	1297
116	1335	1335
117	1337	1337
118	1339	1339
119	1345	1345
120	1351	1351
121	1363	1363
122	1369	1369
123	1387	1387
124	1441	1441
125	1477	1477
126	1483	1483
127	1495	1495
128	1501	1501
129	1507	1507
130	1519	1519
131	1543	1543
132	1549	1549
133	1555	1555
134	1561	1561
135	1573	1573
136	1585	1585
137	1591	1591
138	1597	1597
139	1603	1603
140	1609	1609
141	1615	1615
142	1653	1653
143	1655	1655
144	1657	1657
145	1669	1669
146	1675	1675
147	1681	1681
148	1685	1685
149	1691	1691
150	1703	1703
151	1709	1709
152	1715	1715
153	1721	1721
154	1739	1739
155	1763	1763
156	1769	1769
157	1781	1781
158	1793	1793
159	1811	1811
160	1835	1835
161	1841	1841
162	1859	1859
163	1861	1861
164	1867	1867
165	1873	1873
166	1885	1885
167	1891	1891
168	1897	1897
169	1903	1903
170	1909	1909
171	1915	1915
172	1927	1927
173	1939	1939
174	1945	1945
175	1951	1951
176	1957	1957
177	1963	1963
178	1969	1969
179	1981	1981
180	1987	1987
181	1999	1999
182	2005	2005
183	2017	2017
184	2029	2029
185	2035	2035
186	2047	2047
187	2053	2053
188	2079	2079
189	2081	2081
190	2083	2083
191	2089	2089
192	2095	2095
193	2101	2101
