dataset,hypothesis,arm,seed,epochs_ran,stopped_early,best_val_loss,train_loss,ari,f1,n_nodes,n_edges,seconds,backend
metametro_bubble,clustering,kmeans,0,24,True,0.703381,0.754974,-0.2,0.75,4,5,0.074,cpp
metametro_bubble,clustering,kmeans,1,12,True,0.695299,0.7077,-0.2,0.75,4,5,0.046,cpp
metametro_bubble,clustering,agglomerative,0,24,True,0.703381,0.754974,-0.2,0.75,4,5,0.459,cpp
metametro_bubble,clustering,agglomerative,1,12,True,0.695299,0.7077,-0.2,0.75,4,5,0.049,cpp
strong100,clustering,kmeans,0,36,True,0.493211,0.461114,0.293558,0.323944,852,1100,0.351,cpp
strong100,clustering,kmeans,1,46,True,0.424404,0.434337,0.291606,0.300469,852,1100,0.418,cpp
strong100,clustering,agglomerative,0,36,True,0.493211,0.461114,0.325765,0.350939,852,1100,0.24,cpp
strong100,clustering,agglomerative,1,46,True,0.424404,0.434337,0.404972,0.426056,852,1100,0.336,cpp
ont100m,clustering,kmeans,0,22,True,3.95694,5.62449,0.102147,0.24282,383,429,0.193,cpp
ont100m,clustering,kmeans,1,60,False,1.07361,2.16194,0.175026,0.396867,383,429,0.406,cpp
ont100m,clustering,agglomerative,0,22,True,3.95694,5.62449,-0.003155,0.219321,383,429,0.185,cpp
ont100m,clustering,agglomerative,1,60,False,1.07361,2.16194,0.074923,0.237598,383,429,0.372,cpp
ont1b,clustering,kmeans,0,60,False,0.655008,0.651102,0.125096,0.292887,239,831,0.313,cpp
ont1b,clustering,kmeans,1,24,True,4.37746,1.90749,0.134221,0.414226,239,831,0.218,cpp
ont1b,clustering,agglomerative,0,60,False,0.655008,0.651102,0.035454,0.330544,239,831,0.264,cpp
ont1b,clustering,agglomerative,1,24,True,4.37746,1.90749,0.048212,0.380753,239,831,0.129,cpp
illumina,clustering,kmeans,0,60,False,0.68115,0.670473,0.051886,0.157977,5140,18584,4.258,cpp
illumina,clustering,kmeans,1,60,False,0.680938,0.667537,0.070527,0.171984,5140,18584,4.288,cpp
illumina,clustering,agglomerative,0,60,False,0.68115,0.670473,0.016365,0.222374,5140,18584,5.187,cpp
illumina,clustering,agglomerative,1,60,False,0.680938,0.667537,0.006649,0.207588,5140,18584,5.24,cpp
