dataset,hypothesis,arm,seed,epochs_ran,stopped_early,best_val_loss,train_loss,ari,f1,n_nodes,n_edges,seconds,backend
metametro_bubble,coloring,uncoloured,0,24,True,0.703381,0.754974,-0.2,0.75,4,5,0.047,cpp
metametro_bubble,coloring,uncoloured,1,12,True,0.695299,0.7077,-0.2,0.75,4,5,0.056,cpp
metametro_bubble,coloring,cgt_colors,0,60,False,0.684955,0.692916,-0.2,0.75,4,5,0.075,cpp
metametro_bubble,coloring,cgt_colors,1,35,True,0.696532,0.705571,-0.2,0.75,4,5,0.04,cpp
strong100,coloring,uncoloured,0,36,True,0.493211,0.461114,0.293558,0.323944,852,1100,0.352,cpp
strong100,coloring,uncoloured,1,46,True,0.424404,0.434337,0.291606,0.300469,852,1100,0.388,cpp
strong100,coloring,cgt_colors,0,31,True,0.525552,0.484296,0.291793,0.295775,852,1100,0.299,cpp
strong100,coloring,cgt_colors,1,37,True,0.417186,0.456451,0.281944,0.329812,852,1100,0.377,cpp
ont100m,coloring,uncoloured,0,22,True,3.95694,5.62449,0.102147,0.24282,383,429,0.22,cpp
ont100m,coloring,uncoloured,1,60,False,1.07361,2.16194,0.175026,0.396867,383,429,0.456,cpp
ont100m,coloring,cgt_colors,0,37,True,1.9368,1.88332,0.107409,0.258486,383,429,0.312,cpp
ont100m,coloring,cgt_colors,1,11,True,18.6161,45.2283,0.026725,0.146214,383,429,0.135,cpp
ont1b,coloring,uncoloured,0,60,False,0.655008,0.651102,0.125096,0.292887,239,831,0.32,cpp
ont1b,coloring,uncoloured,1,24,True,4.37746,1.90749,0.134221,0.414226,239,831,0.174,cpp
ont1b,coloring,cgt_colors,0,35,True,0.810743,5.95941,0.074061,0.405858,239,831,0.23,cpp
ont1b,coloring,cgt_colors,1,14,True,6.74469,2.49429,0.139467,0.435146,239,831,0.124,cpp
illumina,coloring,uncoloured,0,60,False,0.68115,0.670473,0.051886,0.157977,5140,18584,4.176,cpp
illumina,coloring,uncoloured,1,60,False,0.680938,0.667537,0.070527,0.171984,5140,18584,4.467,cpp
illumina,coloring,cgt_colors,0,60,False,0.682952,0.671139,0.052197,0.219261,5140,18584,4.363,cpp
illumina,coloring,cgt_colors,1,60,False,0.681492,0.667825,0.056708,0.178599,5140,18584,4.32,cpp
