dataset,hypothesis,arm,seed,epochs_ran,stopped_early,best_val_loss,train_loss,ari,f1,n_nodes,n_edges,seconds,backend
metametro_bubble,feature_source,vae_latent,0,24,True,0.703381,0.754974,-0.2,0.75,4,5,0.179,cpp
metametro_bubble,feature_source,vae_latent,1,12,True,0.695299,0.7077,-0.2,0.75,4,5,0.042,cpp
metametro_bubble,feature_source,raw_features,0,24,True,0.703381,0.754974,-0.2,0.75,4,5,0.034,cpp
metametro_bubble,feature_source,raw_features,1,12,True,0.695299,0.7077,-0.2,0.75,4,5,0.034,cpp
strong100,feature_source,vae_latent,0,36,True,0.493211,0.461114,0.293558,0.323944,852,1100,0.352,cpp
strong100,feature_source,vae_latent,1,46,True,0.424404,0.434337,0.291606,0.300469,852,1100,0.375,cpp
strong100,feature_source,raw_features,0,60,False,0.494684,0.5909,0.230932,0.299296,852,1100,0.869,cpp
strong100,feature_source,raw_features,1,60,False,0.465907,0.524231,0.298132,0.328638,852,1100,0.881,cpp
ont100m,feature_source,vae_latent,0,22,True,3.95694,5.62449,0.102147,0.24282,383,429,0.2,cpp
ont100m,feature_source,vae_latent,1,60,False,1.07361,2.16194,0.175026,0.396867,383,429,0.381,cpp
ont100m,feature_source,raw_features,0,22,True,3.95694,5.62449,0.102147,0.24282,383,429,0.197,cpp
ont100m,feature_source,raw_features,1,60,False,1.07361,2.16194,0.175026,0.396867,383,429,0.408,cpp
ont1b,feature_source,vae_latent,0,60,False,0.655008,0.651102,0.125096,0.292887,239,831,0.28,cpp
ont1b,feature_source,vae_latent,1,24,True,4.37746,1.90749,0.134221,0.414226,239,831,0.142,cpp
ont1b,feature_source,raw_features,0,60,False,0.655008,0.651102,0.125096,0.292887,239,831,0.309,cpp
ont1b,feature_source,raw_features,1,24,True,4.37746,1.90749,0.134221,0.414226,239,831,0.142,cpp
illumina,feature_source,vae_latent,0,60,False,0.68115,0.670473,0.051886,0.157977,5140,18584,4.254,cpp
illumina,feature_source,vae_latent,1,60,False,0.680938,0.667537,0.070527,0.171984,5140,18584,4.306,cpp
illumina,feature_source,raw_features,0,60,False,0.68115,0.670473,0.051886,0.157977,5140,18584,4.515,cpp
illumina,feature_source,raw_features,1,60,False,0.680938,0.667537,0.070527,0.171984,5140,18584,4.249,cpp
