dataset,hypothesis,arm,seed,epochs_ran,stopped_early,best_val_loss,train_loss,ari,f1,n_nodes,n_edges,seconds,backend
metametro_bubble,graph_type,assembly,0,24,True,0.703381,0.754974,-0.2,0.75,4,5,0.065,cpp
metametro_bubble,graph_type,assembly,1,12,True,0.695299,0.7077,-0.2,0.75,4,5,0.062,cpp
metametro_bubble,graph_type,knn_vae,0,9,True,0.693147,0.693147,0.0,0.5,4,12,0.067,cpp
metametro_bubble,graph_type,knn_vae,1,9,True,0.693147,0.693147,0.0,0.5,4,12,0.051,cpp
strong100,graph_type,assembly,0,36,True,0.493211,0.461114,0.293558,0.323944,852,1100,0.448,cpp
strong100,graph_type,assembly,1,46,True,0.424404,0.434337,0.291606,0.300469,852,1100,0.381,cpp
strong100,graph_type,knn_vae,0,57,True,0.444866,0.432829,0.248829,0.288732,852,6436,0.505,cpp
strong100,graph_type,knn_vae,1,60,False,0.427293,0.420352,0.26126,0.29108,852,6436,0.504,cpp
strong100,graph_type,knn_kmer,0,60,False,0.433441,0.416304,0.25388,0.287559,852,7214,0.576,cpp
strong100,graph_type,knn_kmer,1,56,True,0.428107,0.420003,0.245351,0.308685,852,7214,0.463,cpp
ont100m,graph_type,assembly,0,22,True,3.95694,5.62449,0.102147,0.24282,383,429,0.214,cpp
ont100m,graph_type,assembly,1,60,False,1.07361,2.16194,0.175026,0.396867,383,429,0.42,cpp
ont100m,graph_type,knn_vae,0,60,False,0.502989,0.46418,0.253024,0.342037,383,2578,0.454,cpp
ont100m,graph_type,knn_vae,1,60,False,0.485052,0.477647,0.237483,0.32376,383,2578,0.447,cpp
ont1b,graph_type,assembly,0,60,False,0.655008,0.651102,0.125096,0.292887,239,831,0.323,cpp
ont1b,graph_type,assembly,1,24,True,4.37746,1.90749,0.134221,0.414226,239,831,0.189,cpp
ont1b,graph_type,knn_vae,0,60,False,0.533319,0.521241,0.148653,0.343096,239,1692,0.341,cpp
ont1b,graph_type,knn_vae,1,47,True,0.802403,0.719797,0.204008,0.41841,239,1692,0.259,cpp
illumina,graph_type,assembly,0,60,False,0.68115,0.670473,0.051886,0.157977,5140,18584,4.408,cpp
illumina,graph_type,assembly,1,60,False,0.680938,0.667537,0.070527,0.171984,5140,18584,4.469,cpp
illumina,graph_type,knn_vae,0,60,False,0.544947,0.536192,0.031528,0.236381,5140,42100,4.528,cpp
illumina,graph_type,knn_vae,1,60,False,0.570219,0.554076,0.042762,0.219455,5140,42100,4.448,cpp
