dataset,hypothesis,arm,seed,epochs_ran,stopped_early,best_val_loss,train_loss,ari,f1,n_nodes,n_edges,seconds,backend
metametro_bubble,joint_training,frozen_vae,0,32,True,0.539128,0.665686,-0.2,0.75,4,5,0.357,cpp
metametro_bubble,joint_training,frozen_vae,1,31,True,0.662383,0.596575,-0.2,0.75,4,5,0.289,cpp
metametro_bubble,joint_training,joint_raw,0,32,True,0.539128,0.665686,-0.2,0.75,4,5,0.284,cpp
metametro_bubble,joint_training,joint_raw,1,31,True,0.662383,0.596575,-0.2,0.75,4,5,0.216,cpp
strong100,joint_training,frozen_vae,0,60,False,0.401571,0.429313,0.290988,0.289906,852,1100,0.818,cpp
strong100,joint_training,frozen_vae,1,51,True,0.401257,0.43352,0.310734,0.215962,852,1100,0.703,cpp
strong100,joint_training,joint_raw,0,60,False,0.449357,0.466945,0.345109,0.336854,852,1100,1.085,cpp
strong100,joint_training,joint_raw,1,60,False,0.438294,0.458037,0.314534,0.289906,852,1100,1.079,cpp
ont100m,joint_training,frozen_vae,0,26,True,2.21148,1.70503,0.124025,0.174935,383,429,0.399,cpp
ont100m,joint_training,frozen_vae,1,25,True,0.658984,1.46537,0.101181,0.253264,383,429,0.502,cpp
ont100m,joint_training,joint_raw,0,26,True,2.21148,1.70503,0.124025,0.174935,383,429,0.492,cpp
ont100m,joint_training,joint_raw,1,25,True,0.658984,1.46537,0.101181,0.253264,383,429,0.516,cpp
ont1b,joint_training,frozen_vae,0,32,True,0.75027,0.819635,0.266098,0.514644,239,831,0.365,cpp
ont1b,joint_training,frozen_vae,1,50,True,0.630785,0.555735,0.284502,0.380753,239,831,0.424,cpp
ont1b,joint_training,joint_raw,0,32,True,0.75027,0.819635,0.266098,0.514644,239,831,0.376,cpp
ont1b,joint_training,joint_raw,1,50,True,0.630785,0.555735,0.284502,0.380753,239,831,0.537,cpp
illumina,joint_training,frozen_vae,0,60,False,0.548165,0.546228,0.086045,0.195331,5140,18584,5.038,cpp
illumina,joint_training,frozen_vae,1,60,False,0.548181,0.550395,0.075847,0.152724,5140,18584,5.191,cpp
illumina,joint_training,joint_raw,0,60,False,0.548165,0.546228,0.086045,0.195331,5140,18584,4.966,cpp
illumina,joint_training,joint_raw,1,60,False,0.548181,0.550395,0.075847,0.152724,5140,18584,4.901,cpp
