dataset,hypothesis,arm,seed,epochs_ran,stopped_early,best_val_loss,train_loss,ari,f1,n_nodes,n_edges,seconds,backend
metametro_bubble,loss,standard,0,24,True,0.703381,0.754974,-0.2,0.75,4,5,0.07,cpp
metametro_bubble,loss,standard,1,12,True,0.695299,0.7077,-0.2,0.75,4,5,0.059,cpp
metametro_bubble,loss,diff_c,0,24,True,0.703381,0.754974,-0.2,0.75,4,5,0.121,cpp
metametro_bubble,loss,diff_c,1,12,True,0.695299,0.7077,-0.2,0.75,4,5,0.054,cpp
metametro_bubble,loss,proxy,0,24,True,0.703381,0.754974,-0.2,0.75,4,5,0.071,cpp
metametro_bubble,loss,proxy,1,12,True,0.695299,0.7077,-0.2,0.75,4,5,0.055,cpp
metametro_bubble,loss,contrastive,0,27,True,2.23443,2.29238,-0.2,0.75,4,5,0.051,cpp
metametro_bubble,loss,contrastive,1,15,True,2.18471,2.43046,-0.2,0.75,4,5,0.053,cpp
strong100,loss,standard,0,36,True,0.493211,0.461114,0.293558,0.323944,852,1100,0.387,cpp
strong100,loss,standard,1,46,True,0.424404,0.434337,0.291606,0.300469,852,1100,0.371,cpp
strong100,loss,diff_c,0,60,False,0.472857,0.47179,0.312971,0.33216,852,1100,0.41,cpp
strong100,loss,diff_c,1,42,True,0.428823,0.5047,0.306404,0.323944,852,1100,0.36,cpp
strong100,loss,proxy,0,60,False,0.464043,0.497365,0.292974,0.315728,852,1100,0.465,cpp
strong100,loss,proxy,1,39,True,0.450653,0.541798,0.312795,0.32277,852,1100,0.383,cpp
strong100,loss,contrastive,0,36,True,0.867607,0.359967,0.307808,0.311033,852,1100,0.313,cpp
strong100,loss,contrastive,1,40,True,0.629027,0.400078,0.274306,0.292254,852,1100,0.384,cpp
ont100m,loss,standard,0,22,True,3.95694,5.62449,0.102147,0.24282,383,429,0.228,cpp
ont100m,loss,standard,1,60,False,1.07361,2.16194,0.175026,0.396867,383,429,0.444,cpp
ont100m,loss,diff_c,0,50,True,0.576454,0.704588,0.130396,0.219321,383,429,0.379,cpp
ont100m,loss,diff_c,1,24,True,4.41706,9.46094,0.103324,0.214099,383,429,0.262,cpp
ont100m,loss,proxy,0,27,True,2.6993,2.5304,0.118411,0.193211,383,429,0.219,cpp
ont100m,loss,proxy,1,14,True,13.091,4.65514,0.092135,0.211488,383,429,0.18,cpp
ont100m,loss,contrastive,0,33,True,2.6991,4.18394,0.131882,0.302872,383,429,0.29,cpp
ont100m,loss,contrastive,1,14,True,15.3465,23.918,0.149172,0.248042,383,429,0.154,cpp
ont1b,loss,standard,0,60,False,0.655008,0.651102,0.125096,0.292887,239,831,0.313,cpp
ont1b,loss,standard,1,24,True,4.37746,1.90749,0.134221,0.414226,239,831,0.293,cpp
ont1b,loss,diff_c,0,39,True,0.719237,1.18872,0.219433,0.456067,239,831,0.239,cpp
ont1b,loss,diff_c,1,16,True,3.6148,4.50599,0.186938,0.410042,239,831,0.147,cpp
ont1b,loss,proxy,0,49,True,0.738425,1.20287,0.065385,0.305439,239,831,0.285,cpp
ont1b,loss,proxy,1,15,True,4.19884,4.91758,0.144656,0.267782,239,831,0.154,cpp
ont1b,loss,contrastive,0,60,False,1.92893,1.93899,0.159771,0.359833,239,831,0.279,cpp
ont1b,loss,contrastive,1,60,False,2.08744,1.97094,0.151982,0.271967,239,831,0.289,cpp
illumina,loss,standard,0,60,False,0.68115,0.670473,0.051886,0.157977,5140,18584,4.533,cpp
illumina,loss,standard,1,60,False,0.680938,0.667537,0.070527,0.171984,5140,18584,4.225,cpp
illumina,loss,diff_c,0,55,True,0.755329,0.982029,0.051635,0.167315,5140,18584,3.799,cpp
illumina,loss,diff_c,1,60,False,0.758354,0.998904,0.067241,0.192996,5140,18584,4.429,cpp
illumina,loss,proxy,0,56,True,0.827614,1.16969,0.053798,0.154475,5140,18584,4.017,cpp
illumina,loss,proxy,1,60,False,0.842091,1.15375,0.052394,0.159533,5140,18584,4.238,cpp
illumina,loss,contrastive,0,60,False,2.11967,1.99745,0.060976,0.199416,5140,18584,4.221,cpp
illumina,loss,contrastive,1,60,False,2.09163,2.00654,0.05449,0.197665,5140,18584,4.423,cpp
