dataset,hypothesis,arm,seed,epochs_ran,stopped_early,best_val_loss,train_loss,ari,f1,n_nodes,n_edges,seconds,backend
metametro_bubble,multiscale,latent_only,0,24,True,0.703381,0.754974,-0.2,0.75,4,5,0.071,cpp
metametro_bubble,multiscale,latent_only,1,12,True,0.695299,0.7077,-0.2,0.75,4,5,0.057,cpp
metametro_bubble,multiscale,degree_clustering,0,60,False,0.690826,0.69918,1.0,1.0,4,5,0.055,cpp
metametro_bubble,multiscale,degree_clustering,1,17,True,0.692384,0.703516,-0.2,0.5,4,5,0.063,cpp
strong100,multiscale,latent_only,0,36,True,0.493211,0.461114,0.293558,0.323944,852,1100,0.355,cpp
strong100,multiscale,latent_only,1,46,True,0.424404,0.434337,0.291606,0.300469,852,1100,0.399,cpp
strong100,multiscale,degree_clustering,0,45,True,0.441151,0.414144,0.223415,0.280516,852,1100,0.416,cpp
strong100,multiscale,degree_clustering,1,32,True,0.425549,0.439255,0.250489,0.28169,852,1100,0.34,cpp
ont100m,multiscale,latent_only,0,22,True,3.95694,5.62449,0.102147,0.24282,383,429,0.188,cpp
ont100m,multiscale,latent_only,1,60,False,1.07361,2.16194,0.175026,0.396867,383,429,0.431,cpp
ont100m,multiscale,degree_clustering,0,26,True,2.42234,4.94525,0.137536,0.266319,383,429,0.211,cpp
ont100m,multiscale,degree_clustering,1,13,True,6.56783,3.79082,0.096594,0.229765,383,429,0.173,cpp
ont1b,multiscale,latent_only,0,60,False,0.655008,0.651102,0.125096,0.292887,239,831,0.362,cpp
ont1b,multiscale,latent_only,1,24,True,4.37746,1.90749,0.134221,0.414226,239,831,0.153,cpp
ont1b,multiscale,degree_clustering,0,55,True,0.609019,0.632316,0.272699,0.514644,239,831,0.273,cpp
ont1b,multiscale,degree_clustering,1,14,True,3.66902,1.77761,0.156887,0.422594,239,831,0.124,cpp
illumina,multiscale,latent_only,0,60,False,0.68115,0.670473,0.051886,0.157977,5140,18584,4.268,cpp
illumina,multiscale,latent_only,1,60,False,0.680938,0.667537,0.070527,0.171984,5140,18584,4.286,cpp
illumina,multiscale,degree_clustering,0,60,False,0.668912,0.64815,0.055797,0.211089,5140,18584,4.128,cpp
illumina,multiscale,degree_clustering,1,60,False,0.697857,0.67155,0.046092,0.164981,5140,18584,4.324,cpp
