dense_id	source_id	cfa_node_ids
0	contig_1	contig_1
1	contig_10	contig_10
2	contig_100	contig_100
3	contig_1000	contig_1000
4	contig_1001	contig_1001
5	contig_1002	contig_1002
6	contig_1003	contig_1003
7	contig_1005	contig_1005
8	contig_1006	contig_1006
9	contig_1008	contig_1008
10	contig_1009	contig_1009
11	contig_101	contig_101
12	contig_1010	contig_1010
13	contig_1011	contig_1011
14	contig_1012	contig_1012
15	contig_1014	contig_1014
16	contig_1015	contig_1015
17	contig_1016	contig_1016
18	contig_1017	contig_1017
19	contig_1018	contig_1018
20	contig_1019	contig_1019
21	contig_102	contig_102
22	contig_1020	contig_1020
23	contig_1023	contig_1023
24	contig_1024	contig_1024
25	contig_1025	contig_1025
26	contig_1026	contig_1026
27	contig_1027	contig_1027
28	contig_1028	contig_1028
29	contig_1029	contig_1029
30	contig_103	contig_103
31	contig_1030	contig_1030
32	contig_1032	contig_1032
33	contig_1033	contig_1033
34	contig_1034	contig_1034
35	contig_1035	contig_1035
36	contig_1036	contig_1036
37	contig_1037	contig_1037
38	contig_1038	contig_1038
39	contig_1039	contig_1039
40	contig_104	contig_104
41	contig_1040	contig_1040
42	contig_1042	contig_1042
43	contig_1043	contig_1043
44	contig_1044	contig_1044
45	contig_1045	contig_1045
46	contig_1046	contig_1046
47	contig_1047	contig_1047
48	contig_105	contig_105
49	contig_1051	contig_1051
50	contig_1052	contig_1052
51	contig_1053	contig_1053
52	contig_1054	contig_1054
53	contig_1055	contig_1055
54	contig_1057	contig_1057
55	contig_1058	contig_1058
56	contig_1059	contig_1059
57	contig_106	contig_106
58	contig_1060	contig_1060
59	contig_1061	contig_1061
60	contig_1062	contig_1062
61	contig_1063	contig_1063
62	contig_1064	contig_1064
63	contig_1067	contig_1067
64	contig_1068	contig_1068
65	contig_1069	contig_1069
66	contig_107	contig_107
67	contig_1070	contig_1070
68	contig_1071	contig_1071
69	contig_1072	contig_1072
70	contig_1073	contig_1073
71	contig_1074	contig_1074
72	contig_1075	contig_1075
73	contig_1076	contig_1076
74	contig_1077	contig_1077
75	contig_1079	contig_1079
76	contig_108	contig_108
77	contig_1080	contig_1080
78	contig_1081	contig_1081
79	contig_1082	contig_1082
80	contig_1083	contig_1083
81	contig_1085	contig_1085
82	contig_1086	contig_1086
83	contig_1087	contig_1087
84	contig_1088	contig_1088
85	contig_1089	contig_1089
86	contig_1090	contig_1090
87	contig_1091	contig_1091
88	contig_1093	contig_1093
89	contig_1094	contig_1094
90	contig_1095	contig_1095
91	contig_1096	contig_1096
92	contig_1097	contig_1097
93	contig_1099	contig_1099
94	contig_110	contig_110
95	contig_1100	contig_1100
96	contig_1101	contig_1101
97	contig_1102	contig_1102
98	contig_1103	contig_1103
99	contig_1105	contig_1105
100	contig_1107	contig_1107
101	contig_111	contig_111
102	contig_1110	contig_1110
103	contig_1111	contig_1111
104	contig_1112	contig_1112
105	contig_1113	contig_1113
106	contig_1114	contig_1114
107	contig_1115	contig_1115
108	contig_1116	contig_1116
109	contig_1118	contig_1118
110	contig_1119	contig_1119
111	contig_112	contig_112
112	contig_1121	contig_1121
113	contig_1122	contig_1122
114	contig_1123	contig_1123
115	contig_1124	contig_1124
116	contig_1125	contig_1125
117	contig_1126	contig_1126
118	contig_1128	contig_1128
119	contig_1129	contig_1129
120	contig_113	contig_113
121	contig_1130	contig_1130
122	contig_1132	contig_1132
123	contig_1133	contig_1133
124	contig_1134	contig_1134
125	contig_1136	contig_1136
126	contig_1138	contig_1138
127	contig_1139	contig_1139
128	contig_114	contig_114
129	contig_1141	contig_1141
130	contig_1142	contig_1142
131	contig_1143	contig_1143
132	contig_1144	contig_1144
133	contig_1145	contig_1145
134	contig_1146	contig_1146
135	contig_1147	contig_1147
136	contig_1148	contig_1148
137	contig_1149	contig_1149
138	contig_115	contig_115
139	contig_1150	contig_1150
140	contig_116	contig_116
141	contig_117	contig_117
142	contig_118	contig_118
143	contig_119	contig_119
144	contig_12	contig_12
145	contig_121	contig_121
146	contig_122	contig_122
147	contig_123	contig_123
148	contig_124	contig_124
149	contig_125	contig_125
150	contig_126	contig_126
151	contig_127	contig_127
152	contig_128	contig_128
153	contig_129	contig_129
154	contig_13	contig_13
155	contig_130	contig_130
156	contig_131	contig_131
157	contig_132	contig_132
158	contig_134	contig_134
